K=200 T=1.0
T=1.0
Clustering x.shape=(116269, 162)
('Original shape:', (116269, 162))
Clustering into 200 categories ...
Initialization complete
Iteration 46, inertia 305.108
Iteration 47, inertia 305.097
Iteration 48, inertia 305.085
Iteration 49, inertia 305.074
Iteration 50, inertia 305.064
Iteration 51, inertia 305.055
Iteration 52, inertia 305.047
Iteration 53, inertia 305.040
Iteration 54, inertia 305.031
Iteration 55, inertia 305.022
Iteration 56, inertia 305.012
Iteration 57, inertia 305.002
Iteration 58, inertia 304.993
Iteration 59, inertia 304.985
Iteration 60, inertia 304.978
Iteration 61, inertia 304.971
Iteration 62, inertia 304.964
Iteration 63, inertia 304.956
Iteration 64, inertia 304.948
Iteration 65, inertia 304.940
Iteration 66, inertia 304.933
Iteration 67, inertia 304.925
Iteration 68, inertia 304.917
Iteration 69, inertia 304.910
Iteration 70, inertia 304.902
Iteration 71, inertia 304.897
Iteration 72, inertia 304.891
Iteration 73, inertia 304.885
Iteration 74, inertia 304.879
Iteration 75, inertia 304.873
Iteration 76, inertia 304.868
Iteration 77, inertia 304.864
Iteration 78, inertia 304.861
Iteration 79, inertia 304.857
Iteration 80, inertia 304.854
Iteration 81, inertia 304.851
Iteration 82, inertia 304.848
Iteration 83, inertia 304.845
Iteration 84, inertia 304.842
Iteration 85, inertia 304.838
Iteration 86, inertia 304.835
Iteration 87, inertia 304.833
Iteration 88, inertia 304.831
Iteration 89, inertia 304.829
Iteration 90, inertia 304.827
Iteration 91, inertia 304.825
Iteration 92, inertia 304.824
Iteration 93, inertia 304.822
Iteration 94, inertia 304.820
Iteration 95, inertia 304.819
Iteration 96, inertia 304.818
Iteration 97, inertia 304.816
Iteration 98, inertia 304.815
Iteration 99, inertia 304.814
Iteration 100, inertia 304.813
Iteration 101, inertia 304.812
Iteration 102, inertia 304.811
Iteration 103, inertia 304.810
Iteration 104, inertia 304.810
Iteration 105, inertia 304.809
Iteration 106, inertia 304.808
Iteration 107, inertia 304.808
Iteration 108, inertia 304.808
